1,2,44668648
2,2,6781868
1,1,5207027
1,3,3097390
3,2,2065237
2,1,1111760
4,2,1069511
2,3,856690
5,2,552892
3,1,525785
1,4,462888
6,2,338075
1,5,261993
4,1,256888
2,4,251281
7,2,214764
1,6,188369
5,1,158922
3,3,157200
8,2,153867
1,7,131938
100,1,125321
1,9,111393
9,2,110913
1,11,104370
1,8,103116
6,1,101834
10,2,96117
11,2,94425
13,2,79583
1,10,76228
7,1,68075
70,1,64843
4,3,62011
12,2,54925
1,12,51605
2,5,49531
30,1,49496
8,1,48047
3,4,45137
1,13,43099
14,2,40848
1,14,37487
3,5,37388
9,1,37060
10,1,35070
50,1,34669
15,2,34329
1,16,34070
2,6,33281
1,15,32510
1,18,32097
5,3,31476
16,2,31245
1,17,28895
3,6,28238
17,2,27029
4,4,26199
11,1,25364
1,21,25041
1,101,24679
18,2,24533
4,5,23172
1,19,22277
19,2,22117
4,6,21092
1,20,20446
20,2,20405
6,3,19251
200,1,19201
12,1,19103
1,26,19044
21,2,18683
1,22,18615
2,7,18486
22,2,16962
1,23,16661
5,6,16462
13,1,16422
1,24,15876
10,11,15705
5,4,15413
23,2,15349
1,25,14981
24,2,14528
40,1,14347
1,29,14168
1,27,14132
14,1,13659
25,2,13608
3,7,13522
2,8,13267
26,2,12894
1,28,12772
5,5,12465
15,1,12424
7,3,12245
250,1,11977
27,2,11798
1,31,11449
28,2,11321
1,30,11264
4,7,11106
8,3,10644
29,2,10630
3,8,10611
10,12,10571
1,51,10569
16,1,10556
2,9,10374
6,4,10295
30,2,10119
1,32,10014
31,2,9793
55,1,9569
32,2,9317
17,1,9232
4,8,9189
6,6,9022
1,33,9011
33,2,8868
23,1,8849
9,4,8657
20,1,8529
5,7,8273
18,1,8269
1,34,8180
6,5,7902
2,10,7847
3,9,7676
2,11,7548
34,2,7404
19,1,7388
1,35,7379
6,7,7301
7,4,7221
5,8,6999
37,2,6896
4,9,6884
1,36,6823
35,2,6777
10,13,6741
36,2,6632
9,3,6625
21,1,6583
7,6,6339
38,2,6270
1,37,6200
3,10,5989
39,2,5980
7,5,5972
40,2,5961
3,11,5827
22,1,5814
41,2,5714
42,2,5601
4,11,5599
1,38,5579
10,3,5579
4,10,5520
6,8,5277
8,4,5214
2,12,5170
43,2,5155
24,1,5051
44,2,5041
1,39,5017
25,1,5002
5,9,4942
45,2,4915
7,8,4896
46,2,4706
10,14,4644
1,41,4588
1,40,4555
47,2,4520
48,2,4487
8,6,4446
13,3,4423
51,2,4422
8,5,4326
